,team_abbr,team,G,W,L,passes_made,asst,secondary_asst,potential_asst
0,ATL,Atlanta Hawks,67,20,47,271.2,24.0,2.6,45.7
1,BOS,Boston Celtics,72,48,24,283.0,23.0,2.4,40.4
2,BKN,Brooklyn Nets,72,35,37,277.0,24.5,3.4,45.4
3,CHA,Charlotte Hornets,64,23,41,307.6,23.8,3.2,44.7
4,CHI,Chicago Bulls,65,22,43,285.1,23.2,2.8,45.7
5,CLE,Cleveland Cavaliers,65,19,46,289.2,23.1,2.6,43.6
6,DAL,Dallas Mavericks,73,41,32,289.6,24.6,3.3,46.3
7,DEN,Denver Nuggets,73,46,27,305.5,26.7,3.0,45.5
8,DET,Detroit Pistons,65,20,45,288.1,24.1,2.4,45.6
9,GSW,Golden State Warriors,65,15,50,333.3,25.6,3.5,47.4
10,HOU,Houston Rockets,72,44,28,243.9,21.6,3.0,43.9
11,IND,Indiana Pacers,73,45,28,295.6,25.9,2.9,46.8
12,LAC,LA Clippers,72,49,23,271.0,23.7,3.1,42.6
13,LAL,Los Angeles Lakers,71,52,19,283.9,25.4,2.8,46.4
14,MEM,Memphis Grizzlies,73,34,39,305.4,26.9,3.5,47.8
15,MIA,Miami Heat,72,44,28,292.4,25.8,3.0,49.8
16,MIL,Milwaukee Bucks,72,55,17,280.2,25.9,3.2,48.5
17,MIN,Minnesota Timberwolves,64,19,45,306.1,23.8,2.4,47.7
18,NOP,New Orleans Pelicans,71,30,41,317.7,26.8,3.8,50.0
19,NYK,New York Knicks,66,21,45,297.4,22.1,2.2,42.9
20,OKC,Oklahoma City Thunder,72,44,28,286.8,21.7,3.4,38.9
21,ORL,Orlando Magic,73,33,40,271.5,23.9,2.8,47.9
22,PHI,Philadelphia 76ers,73,43,30,299.7,25.8,3.9,47.2
23,PHX,Phoenix Suns,72,34,38,292.4,27.2,3.1,52.5
24,POR,Portland Trail Blazers,73,34,39,243.4,20.6,2.5,38.3
25,SAC,Sacramento Kings,71,31,40,283.7,23.8,2.6,44.9
26,SAS,San Antonio Spurs,70,31,39,280.1,24.7,3.0,43.3
27,TOR,Toronto Raptors,71,52,19,292.3,25.2,3.8,47.3
28,UTA,Utah Jazz,72,44,28,296.3,22.4,2.8,40.6
29,WAS,Washington Wizards,72,25,47,307.8,25.0,2.6,46.9
