,team_abbr,team,G,W,L,passes_made,asst,secondary_asst,potential_asst,year
0,ATL,Atlanta Hawks,72,41,31,274.1,24.1,3.0,45.5,2020-21
1,BOS,Boston Celtics,72,36,36,284.7,23.5,2.6,41.4,2020-21
2,BKN,Brooklyn Nets,72,48,24,277.3,26.8,3.3,47.6,2020-21
3,CHA,Charlotte Hornets,72,33,39,304.8,26.8,3.7,49.3,2020-21
4,CHI,Chicago Bulls,72,31,41,291.0,26.8,3.9,48.6,2020-21
5,CLE,Cleveland Cavaliers,72,22,50,303.1,23.8,3.0,45.1,2020-21
6,DAL,Dallas Mavericks,72,42,30,274.9,22.9,3.2,43.2,2020-21
7,DEN,Denver Nuggets,72,47,25,295.3,26.8,4.1,48.3,2020-21
8,DET,Detroit Pistons,72,20,52,287.2,24.2,2.3,45.7,2020-21
9,GSW,Golden State Warriors,72,39,33,307.5,27.7,4.5,49.6,2020-21
10,HOU,Houston Rockets,72,17,55,277.1,23.6,3.0,46.7,2020-21
11,IND,Indiana Pacers,72,34,38,307.6,27.4,3.1,48.0,2020-21
12,LAC,LA Clippers,72,47,25,281.0,24.4,3.8,43.1,2020-21
13,LAL,Los Angeles Lakers,72,42,30,303.4,24.7,4.1,46.0,2020-21
14,MEM,Memphis Grizzlies,72,38,34,279.1,26.9,3.7,46.7,2020-21
15,MIA,Miami Heat,72,40,32,285.2,26.3,2.7,51.4,2020-21
16,MIL,Milwaukee Bucks,72,46,26,254.8,25.5,2.6,46.7,2020-21
17,MIN,Minnesota Timberwolves,72,23,49,295.6,25.6,3.0,49.3,2020-21
18,NOP,New Orleans Pelicans,72,31,41,291.6,26.0,3.2,46.5,2020-21
19,NYK,New York Knicks,72,41,31,276.2,21.4,2.1,39.4,2020-21
20,OKC,Oklahoma City Thunder,72,22,50,286.1,22.1,2.8,42.9,2020-21
21,ORL,Orlando Magic,72,21,51,269.5,21.8,2.5,43.7,2020-21
22,PHI,Philadelphia 76ers,72,49,23,308.0,23.7,3.2,42.0,2020-21
23,PHX,Phoenix Suns,72,51,21,284.2,26.9,3.7,50.1,2020-21
24,POR,Portland Trail Blazers,72,42,30,244.6,21.3,2.7,39.3,2020-21
25,SAC,Sacramento Kings,72,31,41,279.5,25.5,2.7,45.4,2020-21
26,SAS,San Antonio Spurs,72,33,39,262.4,24.4,2.4,43.3,2020-21
27,TOR,Toronto Raptors,72,27,45,291.4,24.1,3.0,47.3,2020-21
28,UTA,Utah Jazz,72,52,20,289.4,23.7,3.5,44.9,2020-21
29,WAS,Washington Wizards,72,34,38,267.5,25.5,3.1,46.6,2020-21
